Expected_h,Expected_Om,Expected_OL,Expected_Ok,Expected_OQ,Simulated_Om_mean,Simulated_OL_mean,Simulated_Ok_mean,Simulated_OQ_mean,Simulated_H_mean,Simulated_Om_variance,Simulated_OL_variance,Simulated_Ok_variance,Simulated_OQ_variance,Simulated_H_variance
0.6,0.2,0.6,0.20000000000000007,0.0,0.23361130477826006,0.49656875108929943,0.24399310898430637,0.025826835148134147,0.00022000052082760536,4.0353909236794716e-07,7.77671512422808e-08,7.683908145213921e-07,2.1113093774328044e-09,3.819461613517981e-15
0.6,0.2,0.61,0.19000000000000006,0.0,0.2293791872040246,0.5066406755716499,0.23885477058264287,0.025125366641682634,0.0002196102999258679,5.737154691426136e-07,1.472208981467427e-07,1.1423851533779405e-06,6.754619566529331e-09,6.914610631833358e-15
0.6,0.2,0.62,0.18000000000000005,0.0,0.22570119026337748,0.5170818502430243,0.23283664708271473,0.02438031241088346,0.0002191563100981651,4.048178326085205e-07,9.381705121909711e-08,8.081745543295723e-07,3.169936139370049e-09,4.2141488967832834e-15
0.6,0.2,0.63,0.17000000000000004,0.0,0.2213947401370374,0.5273039339781274,0.22760003973949167,0.023701286145343666,0.00021876483593952396,1.4883600621255298e-07,2.958682174460878e-08,2.9085498950998433e-07,2.7685662036765363e-09,1.2726327941468767e-15
0.6,0.2,0.64,0.16000000000000003,0.0,0.2163488491519696,0.5372738627101403,0.2233160454863234,0.023061242651566637,0.0002184388689280826,4.4370256328529326e-07,1.1486877309024466e-07,9.245010957050918e-07,2.6371002820852126e-09,4.745023568847049e-15
0.6,0.2,0.65,0.15000000000000002,0.0,0.21238763534051955,0.5479150215648732,0.2173621331367202,0.022335209957887105,0.00021799065882899049,4.4051823246919704e-07,1.6109801658027745e-07,9.75518028980912e-07,6.804593962275522e-09,6.372923182376996e-15
0.6,0.2,0.66,0.14,0.0,0.20793282898888982,0.5584555712086425,0.2119879541852389,0.02162364561722876,0.00021757823327440582,3.8961779655712816e-07,1.3103530358403358e-07,8.676385848171355e-07,3.3048930614577968e-09,4.9719426200130316e-15
0.6,0.2,0.67,0.13,0.0,0.20358916321674814,0.5691404633384937,0.20634432114025048,0.02092605230450768,0.00021715281264690755,3.9571036468614305e-07,1.2932400169691513e-07,8.898158748733986e-07,2.4183007915695452e-09,4.707007452439046e-15
0.6,0.2,0.68,0.12,0.0,0.1986826442216763,0.5796479900981559,0.20141796313032648,0.020251402549841285,0.00021677543774879706,3.428445506079697e-07,1.1951740602485471e-07,7.887378923481213e-07,2.8172540346996663e-09,4.178334247144465e-15
0.6,0.2,0.69,0.1100000000000001,0.0,0.19434938244941388,0.5906315437948648,0.19548979898595076,0.01952927476977055,0.00021632363607585744,1.0166617994224786e-07,4.050640914786369e-08,2.426374592398873e-07,1.2666095135231824e-09,1.3577745967286977e-15
