Expected_h,Expected_Om,Expected_OL,Expected_Ok,Expected_OQ,Simulated_Om_mean,Simulated_OL_mean,Simulated_Ok_mean,Simulated_OQ_mean,Simulated_H_mean,Simulated_Om_variance,Simulated_OL_variance,Simulated_Ok_variance,Simulated_OQ_variance,Simulated_H_variance
0.6,0.2,0.6,0.20000000000000007,0.0,0.19229592712606974,0.4786501124569,0.3007809584699494,0.028273001947080788,0.0002240806088505643,3.291071589956066e-08,4.8008984229485645e-09,6.055787322120361e-08,6.200358338788007e-11,2.630142443821544e-16
0.6,0.2,0.62,0.18000000000000005,0.0,0.18641823685543693,0.4987604950719466,0.2879989692782753,0.026822298794341247,0.00022314522509156882,4.2782811725188276e-07,8.880377464355449e-08,8.329589748660883e-07,1.635563682421985e-09,4.4446756150167336e-15
0.6,0.2,0.64,0.16000000000000003,0.0,0.1794968956661535,0.5188918629089766,0.276215149567799,0.025396091857070924,0.00022227432467005279,1.1367819700210859e-07,2.480542416483252e-08,2.2879729234737256e-07,3.3259598150352107e-10,1.1380407019322664e-15
0.6,0.2,0.66,0.14,0.0,0.17312471260000006,0.5397617645417357,0.26318141858172817,0.023932104276536012,0.00022131387593842772,5.424562941641596e-08,9.614245852786641e-09,1.0920686324031567e-07,4.1041737765365156e-11,4.040614918519508e-16
0.6,0.2,0.68,0.12,0.0,0.16571722303062136,0.5606181582129135,0.25115147728866594,0.02251314146779917,0.0002204238668890606,1.0386162219252525e-07,2.45199795447404e-08,2.2268760291259936e-07,1.4378916207425592e-10,9.477548357651546e-16
0.6,0.2,0.7,0.10000000000000009,0.0,0.15824988632928827,0.5820251713955279,0.238668886520774,0.02105605575440984,0.00021949057254291946,2.8310661963915966e-08,1.1690077905954601e-08,6.76968499272841e-08,3.8835785846525123e-10,4.1566459090246496e-16
0.6,0.2,0.72,0.08000000000000007,0.0,0.15064828954321247,0.6039230947604229,0.22582877218783065,0.019599843508533898,0.00021853106068991544,8.31478490768966e-08,3.880315923425187e-08,2.1141086422112888e-07,7.091759648402484e-10,1.270067943860149e-15
0.6,0.2,0.74,0.06000000000000005,0.0,0.14237793838148147,0.6260727223689082,0.21340637998235962,0.018142959267250673,0.00021759114534396096,1.2853920039057647e-07,5.6852378221347596e-08,3.3255126837580665e-07,5.120318979197627e-10,1.7159843398346101e-15
0.6,0.2,0.76,0.040000000000000036,0.0,0.13414533101309078,0.6488764021315901,0.20028803555504213,0.016690231300276887,0.0002166025382506675,2.7571145031945817e-08,1.6329530667100432e-08,7.889407472733688e-08,1.7319597127642017e-10,4.5499198435330185e-16
0.6,0.2,0.78,0.020000000000000018,0.0,0.12525736852940478,0.6719653868779949,0.18753103039919744,0.01524621419340302,0.000215631194176687,4.575107607713753e-08,2.649138138442726e-08,1.3401228475292292e-07,1.311448309700533e-10,6.818801781044961e-16
0.6,0.2,0.8,0.0,0.0,0.11629691624158608,0.6958113041014808,0.17410764266552486,0.013784136991408241,0.00021460359886796778,8.91985442547998e-08,6.197264612171204e-08,2.813878896474512e-07,4.044524367705979e-10,1.4735268857861637e-15
0.6,0.22,0.6,0.18000000000000005,0.0,0.19274515192659575,0.4787901578434843,0.3001807214510105,0.028283968778909513,0.00022404783794692344,1.0978124289476419e-07,1.541176539895629e-08,2.0162843803778787e-07,1.7403034635902813e-10,8.436343369202077e-16
0.6,0.22,0.62,0.16000000000000003,0.0,0.1858922291223158,0.4984906323021766,0.2887406145751188,0.026876524000388792,0.000223205599686006,9.401383604308874e-08,2.1337836486720146e-08,1.844910026450206e-07,5.925970505978999e-10,1.0697100447857667e-15
0.6,0.22,0.64,0.14,0.0,0.17957910216192505,0.5188765602969599,0.2761169722307443,0.02542736531037066,0.00022227760416135495,1.550705588161002e-07,3.2395329536931474e-08,3.107347898083897e-07,3.883372344704837e-10,1.4858532996838627e-15
0.6,0.22,0.66,0.12,0.0,0.172604065694597,0.5394727557801197,0.2639467677614794,0.023976410763803968,0.00022137315043801285,5.102968328719872e-08,1.3138423524154462e-08,1.0762518063646555e-07,1.7516141788589338e-10,5.530689054402973e-16
0.6,0.22,0.68,0.09999999999999998,0.0,0.1653761640826607,0.5604440697233681,0.25165401371228435,0.0225257524816868,0.00022045810024978567,9.66939835137622e-08,3.0817975150710144e-08,2.1573325679359834e-07,7.333341025039351e-10,1.192090778386797e-15
0.6,0.22,0.7,0.08000000000000007,0.0,0.15766851351801478,0.5816476426457796,0.23957446839715724,0.02110937543904839,0.00021956179534896335,8.754080897362187e-08,2.31363947633746e-08,1.9598172667481937e-07,1.5588453856719504e-10,8.23908191621899e-16
0.6,0.22,0.72,0.06000000000000005,0.0,0.15004261185922058,0.6035076363352936,0.22679515827383998,0.019654593531645923,0.0002186062677750864,1.0363514730774436e-07,4.4035635096037705e-08,2.585769749898807e-07,6.621026065040928e-10,1.4446321219129867e-15
0.6,0.22,0.74,0.040000000000000036,0.0,0.1419205435377246,0.6256985354559974,0.21417889392100128,0.018202027085276747,0.00021765619240920342,3.859183212149976e-08,1.900259036459126e-08,1.0213000768927989e-07,2.4933019229131695e-10,5.747977300285203e-16
0.6,0.22,0.76,0.020000000000000018,0.0,0.13348332417589606,0.6483466911826611,0.2014190846000437,0.016750900041399158,0.00021669100515521672,4.001369372314567e-08,2.198754228304501e-08,1.1217924175805657e-07,1.9967153378273898e-10,6.140071882524262e-16
0.6,0.22,0.78,0.0,0.0,0.1246876488626052,0.6714674671737466,0.18854401273254037,0.015300871231107896,0.00021571112788001766,3.293261356503178e-08,1.938872602514792e-08,9.643053802672579e-08,1.1326116056132363e-10,5.002727276645582e-16
0.6,0.22,0.8,-0.020000000000000018,0.0,0.11572278811713232,0.6952485115057029,0.1751813352418307,0.013847365135334144,0.00021469043854653488,4.8487006278497105e-08,4.801225735755836e-08,1.7110192014369977e-07,6.663698249676842e-10,1.1438420635002432e-15
0.6,0.24,0.6,0.16000000000000003,0.0,0.1922307509722432,0.47855312196640887,0.30088796520573013,0.028328161855617862,0.000224103315328554,3.634489592700322e-08,4.531545925919544e-09,6.56705783928166e-08,2.108059966766701e-10,2.483855841753305e-16
0.6,0.24,0.62,0.14,0.0,0.1860386227954338,0.4985258894273639,0.2885462506461806,0.02688923713102175,0.00022319771078696654,1.925355959764889e-07,3.656530601722539e-08,3.717448220871843e-07,5.952303928789921e-10,1.831344750049259e-15
0.6,0.24,0.64,0.12,0.0,0.1790805319587509,0.5186136567930846,0.27683388638405504,0.025471924864109468,0.0002223339330326752,6.184355377421539e-08,1.558779982109026e-08,1.2612502608948264e-07,3.713924371568672e-10,7.164649909664828e-16
0.6,0.24,0.66,0.09999999999999998,0.0,0.17222897947297844,0.5392305629651905,0.2645120345962967,0.02402842296553451,0.0002214228614593047,8.50712163235033e-08,2.3017764419461554e-08,1.8039903913041275e-07,5.02020482870075e-10,9.70103229717658e-16
0.6,0.24,0.68,0.07999999999999996,0.0,0.16483372563045656,0.5600877233742017,0.2524858994927297,0.022592651502612127,0.00022052821694562206,4.4006752547787124e-08,1.4070843351742027e-08,9.8889869154126e-08,2.0015220763292776e-10,5.454704797738676e-16
0.6,0.24,0.7,0.06000000000000005,0.0,0.15711167256022102,0.5812983845770767,0.2404356982878615,0.021154244574840737,0.00021962774081688133,1.676328075669218e-08,4.462852898854295e-09,3.7535476229016815e-08,8.89479012981885e-11,1.592975842179337e-16
0.6,0.24,0.72,0.040000000000000036,0.0,0.14963200961571857,0.6032135795932753,0.22745838574671778,0.01969602504428836,0.00021865953991972507,4.7177112974340565e-08,1.7084589183390162e-08,1.1386819069921418e-07,1.2576266686862793e-10,5.613743575832122e-16
0.6,0.24,0.74,0.020000000000000018,0.0,0.14144421228269524,0.6253560190489205,0.21495900471933926,0.018240763949044912,0.0002177157931991715,6.772634586493913e-08,3.245325485294549e-08,1.7821222317615034e-07,4.008441673992452e-10,9.83267855622582e-16
